id;duration;y
01ad4e49-815b-4532-b4c8-5260d8875ebb;197;no
261dd3d0-8370-4ea6-8063-9156e06344b0;131;no
43cec561-a6e2-4373-8ef3-9b756c0fffaf;142;no
9aafcbf4-b0f2-4076-8e4a-5f5dda6f7b99;143;no
fee20bee-7c91-4f57-abe8-9b574250cb40;164;no
458794e2-0762-457d-b733-f9868d698b82;278;no
d533b01f-c006-441e-89ad-57752306c889;161;no
cf262407-17f9-4bc2-816b-2cf62c819f5b;5;no
d969327e-287c-46dd-8b42-03377a751115;9;no
ed81b664-6c1d-4449-84b4-eff07875dcd2;10;no
9dbf0c07-b16a-498c-961e-4c94bec55f49;311;yes
43c9846c-a757-4373-b404-89b1bc422575;486;yes
fe915308-daba-42df-8e5e-88fb5aefdfff;649;yes
11c83be2-f943-4455-a8d4-5e170d08eef6;808;yes
0c21c998-b9bd-4f05-a062-589a0b97a958;608;yes
16ccbf06-146f-45e4-ac4e-cbdf2f1e9bd9;261;no
210ca156-9dae-41be-a4c8-34d3088caaf9;275;yes
77cb8c84-0152-4d52-9fb8-beb2a518fce9;48;no
2fa4367d-25dd-445d-a4f5-568495ea8ed0;391;yes
df7120c6-45bc-47eb-b2d8-ee0af1a86a47;229;yes
40497760-3667-48a7-9d65-86f7f672c150;541;no
042c3154-a5b8-48f2-9379-6c22df55ef05;218;yes
f3e643af-69f4-4e57-82ae-49043858417f;691;no
e20e4cf2-ed17-4b21-95a8-dd0ae9b8fe5d;1020;no
bba82fb1-229f-4691-b78c-e0baf4bdb0f9;1246;yes
868dbd00-c481-452c-9f7b-076a0d2fb26a;604;no
0d222087-4e3c-4e92-9cf2-9deb6d40e993;197;no
4c45f883-22ce-40a0-b52c-70e32f476e0b;138;no
5c9f7108-823a-4a8a-8352-a3d45ece0181;236;yes
6563ce1b-6d3c-4503-8af5-7306c6163fd6;116;no
dd6ef8fb-d9d4-4a6f-9462-20a159c5867f;122;no
e9a53414-2dae-4824-ab5c-ebc473a4a80c;118;no
f1652286-bc66-4d82-bae8-9c97650aeb0c;73;no
15e5b0a6-cfe4-4bb1-a4c4-2233e88031c8;194;yes
591b298f-662b-4e19-bfd2-5231e48bbaaa;146;no
acc383d1-c092-4f50-b379-b9c0bbe29e26;319;yes
ec2ec3cb-4a38-4f10-9450-69c4b8c943fe;437;yes
a9843a08-aaf9-4744-a9dc-a1bc6f05695a;512;no
78578bf4-b286-4420-9311-ce9c5536c6fc;282;no
de070aa1-6ffa-45e3-9b8b-40b68e4ccd6e;272;no
1ec19dc7-2c9d-4d6a-bd0b-12be0e28f71b;309;no
1dbc58e8-3f4f-45cf-9393-d5c251e7c26a;375;no
dcaaedca-8264-4174-95cb-035839d349e0;251;yes
7e25a38e-6ad2-4b4a-9818-a6873e58c33f;135;no
f12eb19f-5588-4cf5-83ec-f48fb9fce4ba;369;yes
5a824f7e-5108-49f5-9059-50b632f88ae4;363;yes
fdacee60-3312-47f5-9f07-e39058098730;133;no
c94eb24b-c5ce-4d8f-b792-dd673c883838;401;yes
7b34a255-c234-474f-8986-c0c7c30ac79f;317;no
edc7ea3c-5c06-4634-a45f-c3f3a5f3ef83;162;no
fdce2757-babe-49ea-91b2-d440c7455a29;291;no
83c8dc63-2936-4526-b1d5-373a147e9b70;450;yes
921c872a-5f6c-4a31-982a-fcfbe152ae1b;195;no
90f9259f-5e7b-490e-b821-b687b673654a;278;yes
49509eca-a143-4562-9e9b-f5adaf5fa9fc;123;no
c4f89a39-efe6-453f-9283-2c6c023b968f;110;no
d97ee11d-78eb-41ce-8a55-a80edaafebf9;252;yes
1adc517b-01be-40fe-a3cf-e183a3e77fc2;165;yes
03931ae3-72ae-4e08-956e-e58c51999ed0;485;no
515e80b7-1a5b-473a-ad00-3a67f848a6eb;160;no
e9980583-6875-4cf8-b684-e1f9e90315cc;251;no
77a94619-2502-4993-b653-05b07ef25921;79;no
2fe8b59b-4fb3-490b-97d9-d3f48811b263;4;no
2213e815-3370-47c9-88dd-5dcdd7baa9a1;34;no
63b32e6e-535d-49c8-a7d7-6f129c03a25e;383;yes
e72c6d96-9dff-4aaf-83e7-04c84d3d37ac;185;no
d3b14143-afac-4290-a6f5-8f441ff4d4ec;146;no
c7698bff-5e83-400a-afae-816dbd2dbd3c;137;no
eab8d8df-d67d-445b-b816-08f443577bc4;4;no
4c758537-c999-4d94-ab68-a1bee57e407e;54;no
faa74a4e-6cda-4d1e-bf2a-46933a03d5bc;114;no
ada37474-4a4d-4cda-91f9-d277c03467b4;203;yes
6a379910-29e1-4869-a833-99b3b23086dc;362;yes
089d5fed-6a99-4cb1-9800-ae7c16badef5;187;yes
eed10566-c564-41a7-a1bf-095e6de0388f;166;no
ad7f8f47-6b05-4102-9cdd-f7352a939b73;242;no
cdd4a413-1efc-495d-9d05-ae20bb77ae90;253;yes
37264ddc-fd65-46cf-8fc1-67877720a664;323;yes
9ec5fffb-59e2-4249-92dc-f51a9d593016;143;no
07621902-d331-4951-a3a9-3f74c8006abb;250;no
a7e3f9fb-48ef-4d47-8ba1-1cd4c6b6d1b2;146;no
9fb94c37-1f4a-4a81-8707-aaac105dd676;209;yes
7fad2858-a8f9-4259-b4e4-d60f855347f7;130;no
a4788b12-16c1-42ed-87a0-2721b2a57ff8;5;no
ec5e1b88-53d7-4c38-91b9-61d955421009;169;yes
b2587c4f-4c71-48d9-a0ca-74c10c406c46;216;yes
f8fb6483-0c90-4885-bb4b-00cba89a187a;190;yes
60405b48-82bf-4e57-bfa7-415adbca5c3b;194;yes
